model,metric,mean,std
SVM,accuracy,0.6222222222222222,0.024845199749997625
SVM,precision,0.6412698412698412,0.01976174539363288
SVM,sensitivity,0.8527272727272728,0.10252997948997587
SVM,specificity,0.27499999962053573,0.16540765944395888
SVM,f1_score,0.7288545727136431,0.02545759717106001
SVM,roc_auc,0.6602597402597403,0.09112034822891879
RandomForest,accuracy,0.6444444444444445,0.06334307917217431
RandomForest,precision,0.6532212885154062,0.05200587713198591
RandomForest,sensitivity,0.8690909090909091,0.10632866557973414
RandomForest,specificity,0.3071428567130102,0.12268260008609551
RandomForest,f1_score,0.743452779104953,0.058798666708669005
RandomForest,roc_auc,0.6863311688311688,0.07028005953630358
XGBoost,accuracy,0.6888888888888889,0.06334307917217433
XGBoost,precision,0.676068376068376,0.057366920323247306
XGBoost,sensitivity,0.9454545454545455,0.04979295977319694
XGBoost,specificity,0.30357142815114796,0.20593861747358702
XGBoost,f1_score,0.7860831122900088,0.03061229631342
XGBoost,roc_auc,0.6286038961038962,0.07607805204770461
