model,metric,mean,std
SVM,accuracy,0.7878654970760234,0.07921663253951437
SVM,precision,0.9272993639595531,0.05339706496908644
SVM,sensitivity,0.7951785714285713,0.0720841689228436
SVM,specificity,0.7666666661111111,0.1636444738612395
SVM,f1_score,0.8554253371464686,0.06029670721244315
SVM,roc_auc,0.8592311507936508,0.06643878027901323
RandomForest,accuracy,0.8504385964912281,0.027412768026857336
RandomForest,precision,0.8685733021389025,0.034136336098812406
RandomForest,sensitivity,0.9596428571428571,0.025360216670390644
RandomForest,specificity,0.4083333330399306,0.10885292054186062
RandomForest,f1_score,0.91131420411772,0.01823071267658222
RandomForest,roc_auc,0.8341741071428572,0.08815519082380939
XGBoost,accuracy,0.858625730994152,0.024926793400671596
XGBoost,precision,0.8674296288288825,0.03228977460102573
XGBoost,sensitivity,0.9732440476190476,0.013854638181838566
XGBoost,specificity,0.3958333330477431,0.06909634971008309
XGBoost,f1_score,0.9169177726429634,0.01599325751895653
XGBoost,roc_auc,0.8271502976190476,0.09519436658858153
