model,metric,mean,std
SVM,accuracy,0.8628571428571428,0.07892417211039122
SVM,precision,0.8796753246753246,0.10384119896649786
SVM,sensitivity,0.8618181818181819,0.11488405941399363
SVM,specificity,0.8618181809728924,0.15231003598907966
SVM,f1_score,0.8638095238095238,0.07289845631584078
SVM,roc_auc,0.9216363636363637,0.07498319370927709
RandomForest,accuracy,0.8438095238095238,0.06148207341554061
RandomForest,precision,0.8686363636363638,0.09340881442117895
RandomForest,sensitivity,0.8236363636363636,0.08297166697530646
RandomForest,specificity,0.8636363627876031,0.11189576010865208
RandomForest,f1_score,0.8412836438923396,0.057967941684639854
RandomForest,roc_auc,0.9118181818181819,0.0637725814810748
XGBoost,accuracy,0.8438095238095238,0.07997661222758412
XGBoost,precision,0.8752747252747254,0.1208104200376072
XGBoost,sensitivity,0.8218181818181819,0.13183385486761814
XGBoost,specificity,0.8654545446023139,0.14479966195491775
XGBoost,f1_score,0.8387309628795696,0.0900250934114358
XGBoost,roc_auc,0.9298181818181819,0.08089989733262802
