model,metric,mean,std
SVM,accuracy,0.7373015873015873,0.16643975483010742
SVM,precision,0.96,0.08944271909999157
SVM,sensitivity,0.5111111111111111,0.3201080064641763
SVM,specificity,0.955555554493827,0.09938079888956755
SVM,f1_score,0.6181818181818182,0.25020652626405243
SVM,roc_auc,0.8898765432098765,0.06501380388756298
RandomForest,accuracy,0.7538359788359789,0.12915669315656553
RandomForest,precision,0.8766666666666667,0.11642832797715319
RandomForest,sensitivity,0.6422222222222222,0.29380433566290504
RandomForest,specificity,0.877777776808642,0.13833221764883027
RandomForest,f1_score,0.6929083644253923,0.18588392439006532
RandomForest,roc_auc,0.8287654320987656,0.049704967080531806
XGBoost,accuracy,0.7496031746031746,0.12062774101442165
XGBoost,precision,0.7911764705882354,0.1321530807627813
XGBoost,sensitivity,0.7133333333333333,0.2231093404090868
XGBoost,specificity,0.7777777769135803,0.2041241450051269
XGBoost,f1_score,0.7298650674662669,0.13461468662766954
XGBoost,roc_auc,0.7860493827160494,0.10583818922501519
