metric,mean,std,variance
threshold_used,0.5,0.0,0.0
accuracy,0.8181818181818181,0.11134044285378082,0.012396694214876032
precision,0.8550505050505051,0.13301814118801153,0.017693825885113767
sensitivity,0.9178571428571429,0.12601627688840963,0.015880102040816326
specificity,0.6166666649027779,0.3708099233903028,0.13749999928472223
f1_score,0.8721241830065359,0.06879139303963129,0.004732255756333033
roc_auc,0.9261904761904762,0.0839264606286408,0.0070436507936507955
tn,2.2,1.4832396974191326,2.2
fp,1.4,1.5165750888103102,2.3000000000000003
fn,0.6,0.8944271909999159,0.7999999999999999
tp,6.8,1.0954451150103321,1.2
train_healthy_count,14.4,0.5477225575051662,0.30000000000000004
train_pd_count,29.6,0.5477225575051661,0.3
train_patient_count,44.0,0.0,0.0
val_healthy_count,3.6,0.5477225575051661,0.3
val_pd_count,7.4,0.5477225575051662,0.30000000000000004
val_patient_count,11.0,0.0,0.0
