metric,mean,std,variance
threshold_used,0.5,0.0,0.0
accuracy,0.889327485380117,0.08990277133186733,0.008082508293150027
precision,0.9316877241634465,0.052708027585811744,0.002778136171986692
sensitivity,0.9285714285714286,0.08503367346870748,0.007230725623582767
specificity,0.7374999994661458,0.1895718859081109,0.03593749992675781
f1_score,0.9288399330807134,0.06108054642199555,0.003730833151209553
roc_auc,0.9484672619047618,0.06899647890634654,0.004760514101473923
tn,10.4,2.073644135332772,4.3
fp,4.0,3.082207001484488,9.5
fn,4.2,5.118593556827892,26.200000000000006
tp,55.0,6.4031242374328485,41.0
train_healthy_count,57.6,2.1908902300206643,4.8
train_pd_count,236.8,3.3466401061363023,11.2
train_patient_count,294.4,2.1908902300206643,4.8
val_healthy_count,14.4,2.1908902300206643,4.8
val_pd_count,59.2,3.3466401061363023,11.2
val_patient_count,73.6,2.1908902300206643,4.8
