metric,mean,std,variance
threshold_used,0.386,0.1700882124075622,0.028929999999999997
optimized_threshold,0.386,0.1700882124075622,0.028929999999999997
accuracy,0.97,0.04472135954999579,0.0019999999999999996
precision,0.9800000000000001,0.04472135954999579,0.001999999999999999
sensitivity,0.96,0.0547722557505166,0.0029999999999999988
specificity,0.9799999990381817,0.04472135951543836,0.0019999999969090893
f1_score,0.9694736842105263,0.04502999923412092,0.0020277008310249306
roc_auc,0.982,0.0268328157299975,0.0007200000000000012
tn,10.0,0.7071067811865476,0.5
fp,0.2,0.447213595499958,0.20000000000000004
fn,0.4,0.5477225575051662,0.30000000000000004
tp,9.8,0.8366600265340756,0.7
train_healthy_count,122.4,1.3416407864998738,1.8
train_pd_count,40.8,0.4472135954999579,0.2
train_patient_count,163.2,1.3038404810405297,1.7000000000000002
val_healthy_count,10.2,0.4472135954999579,0.19999999999999998
val_pd_count,10.2,0.4472135954999579,0.2
val_patient_count,20.4,0.5477225575051661,0.3
