dataset,pipeline,model,metric,mean
Public_Dataset,DeepLearning_ResNet18,ResNet18,accuracy,0.769047619047619
Public_Dataset,ClassicalML_Best,SVM,accuracy,0.7373015873015873
Public_Dataset,DeepLearning_ResNet18,ResNet18,sensitivity,0.8133333333333332
Public_Dataset,ClassicalML_Best,SVM,sensitivity,0.5111111111111111
Public_Dataset,DeepLearning_ResNet18,ResNet18,specificity,0.6888888881358024
Public_Dataset,ClassicalML_Best,SVM,specificity,0.955555554493827
Public_Dataset,DeepLearning_ResNet18,ResNet18,roc_auc,0.9562962962962964
Public_Dataset,ClassicalML_Best,SVM,roc_auc,0.8898765432098765
BD_Dataset,DeepLearning_ResNet18,ResNet18,accuracy,0.5785714285714286
BD_Dataset,ClassicalML_Best,SVM,accuracy,0.8071428571428572
BD_Dataset,DeepLearning_ResNet18,ResNet18,sensitivity,0.55
BD_Dataset,ClassicalML_Best,SVM,sensitivity,0.67
BD_Dataset,DeepLearning_ResNet18,ResNet18,specificity,0.599999998
BD_Dataset,ClassicalML_Best,SVM,specificity,0.9999999966666668
BD_Dataset,DeepLearning_ResNet18,ResNet18,roc_auc,0.9066666666666666
BD_Dataset,ClassicalML_Best,SVM,roc_auc,0.8666666666666668
